date,buy_frac,quote_vol,taker_buy_quote
2023-03-25,0.4982,1397227639.2141378,696042529.0839624
2023-03-26,0.5084,1380973402.9961205,702028235.0573266
2023-03-27,0.4902,2407130888.034605,1179905180.6135278
2023-03-28,0.4959,2124533606.765556,1053473599.2587688
2023-03-29,0.5112,2519887866.2111588,1288220696.4926782
2023-03-30,0.4967,2808471938.6424427,1394972886.7062368
2023-03-31,0.5071,2203253311.777351,1117184234.1868575
2023-04-01,0.5018,860804237.452269,431931567.4827481
2023-04-02,0.479,1053600933.0676805,504647268.0863643
2023-04-03,0.5121,2214361048.7823668,1133865764.0916288
2023-04-04,0.5045,1397141464.875036,704845402.4191409
2023-04-05,0.5032,1721098539.0660567,865971090.1704682
2023-04-06,0.4813,1122713087.5561826,540384260.8568
2023-04-07,0.4839,691323748.9286413,334559478.4702819
